number,english_name,spanish_name,rgb,owned
70.741,Cam. Black Green,Cam. Verde Negro,"71, 53, 45",false
70.806,German Yellow,Amarillo Lasur,"196, 178, 100",false
70.803,Brown Rose,Rosa Marrón,"151, 105, 101",false
70.929,Light Brown,Marrón Claro,"156,96,59",false
70.851,Bright Orange,Naranja Intenso,"225, 100, 44",false
70.946,Dark Red,Rojo Oscuro,"97, 45, 39",false
70.750,Light Violet,Violeta Claro,"158, 141, 181",false
70.809,Royal Blue,Azul Real,"15, 78, 135",false
70.840,Light Turquoise,Turquesa Claro,"1, 107, 138",false
70.980,Black Green,Verde Negro,"30, 50, 41",false
70.954,Yellow Green,Amarillo Verde,"213, 223, 62",false
70.759,German Tank Crew,Carrista Alemán,"74, 72, 60",false
70.986,Deck Tan,Marrón Cubierta,"162, 158, 141",false
70.978,Dark Yellow,Amarillo Camuflaje,"139, 134, 68",false
70.881,Green Yellow,Verde Amarillo,"84,227,68",false
70.917,Beige,Beige,"217,100,238",false
70.874,Tan Earth,Tierra Oscura,"46,95,201",false
70.983,Flat Earth,Tierra Mate,"204,123,29",false
70.818,Red Leather,Cuero Rojo,"184,41,131",false
70.772,Medium Grey Bl,Azul Gris Medio,"163,152,35",false
70.870,Medium Sea Grey,Gris Marina Medio,"92,60,208",false
70.950,Black,Negro,"8,146,109",false
70.887,US Olive Drab,US Verde Oliva,"238,31,134",false
70.914,Green Ochre,Ocre Verde,"186,196,51",false
70.873,US Field,Drab Tierra,"10,135,17",false
70.825,Pale Brown,Pardo Claro,"191,73,109",false
70.982,Cavalry Brown,Marrón Rojo,"214,37,99",false
70.943,Grey Blue,Azul Gris,"226,108,53",false
70.991,Dark Sea,Grey Gris Marina,"230,138,167",false
70.861,Gloss Black,Negro Brillante,"123,155,206",false
70.976,Buff,Amarillo Caqui,"181,61,67",false
70.824,Orange Ochre,Ocre Naranja,"163,56,190",false
70.768,BC Dark Brown,BC Marrón Oscuro,"45,14,140",false
70.940,Saddle Brown,Marrón Cuero,"207,51,126",false
70.814,Burnt Red,Rojo Tostado,"131,228,109",false
70.964,Field Blue,Azul Military,"132,75,19",false
70.773,Violet Grey,Gris Violeta,"31,93,191",false
70.828,Mahogany Ink,Tinta Caoba,"72,156,49",false
